Route_Type,Cabin,Month,Month_Num,Sample_Date,Airlines,Stops,Duration_Hours,Price_AED,Notes,Scraped_Date
Most Direct,Economy,May,5,2026-05-12,N/A,N/A,N/A,N/A,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Economy,May,5,2026-05-12,N/A,N/A,N/A,N/A,"Error: ('error sending request for url (https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMDUtMTJqBRIDTEFYcgUSA1BQVEIBAUgBmAEC&hl=en&tfu=EgQIABABIgA&curr=)', 'https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMDUtMTJqBRIDTEFYcgUSA1BQVEIBAUgBmAEC&hl=en&tfu=EgQIABABIgA&curr=')",2026-04-27
Most Direct,Premium Economy,May,5,2026-05-12,N/A,N/A,N/A,N/A,"Error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMDUtMTJqBRIDRFhCcgUSA1BQVEIBAUgCmAEC&hl=en&tfu=EgQIABABIgA&curr="", waiting until ""load""
",2026-04-27
Via California,Premium Economy,May,5,2026-05-12,N/A,N/A,N/A,N/A,No results on one or both legs,2026-04-27
Most Direct,Business,May,5,2026-05-12,N/A,N/A,N/A,N/A,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Business,May,5,2026-05-12,N/A,N/A,N/A,N/A,No results on one or both legs,2026-04-27
Most Direct,Economy,June,6,2026-06-09,Air France,2,42.8,5535,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Economy,June,6,2026-06-09,"Gulf Air, American + Alaska",2+2,53.2,5015,"DXB→LAX 2485 AED (Gulf Air, American) + LAX→PPT 2530 AED (Alaska). Two tickets. +PPT→BOB ~550 AED.",2026-04-27
Most Direct,Premium Economy,June,6,2026-06-09,Air France,2,42.8,9825,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Premium Economy,June,6,2026-06-09,"Emirates, Air Canada + Air France",2+0,32.8,10960,"DXB→LAX 6705 AED (Emirates, Air Canada) + LAX→PPT 4255 AED (Air France). Two tickets. +PPT→BOB ~550 AED.",2026-04-27
Most Direct,Business,June,6,2026-06-09,Air France,2,42.8,24655,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Business,June,6,2026-06-09,"Gulf Air, American + Alaska",2+1,49.2,23555,"DXB→LAX 13827 AED (Gulf Air, American) + LAX→PPT 9728 AED (Alaska). Two tickets. +PPT→BOB ~550 AED.",2026-04-27
Most Direct,Economy,July,7,2026-07-14,Air France,2,42.8,10805,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Economy,July,7,2026-07-14,N/A,N/A,N/A,N/A,No results on one or both legs,2026-04-27
Most Direct,Premium Economy,July,7,2026-07-14,Air France,2,42.8,15035,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Premium Economy,July,7,2026-07-14,"Emirates, Air Canada + Air France",2+0,36.7,11531,"DXB→LAX 6715 AED (Emirates, Air Canada) + LAX→PPT 4816 AED (Air France). Two tickets. +PPT→BOB ~550 AED.",2026-04-27
Most Direct,Business,July,7,2026-07-14,Air France,2,42.8,24655,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Business,July,7,2026-07-14,"Gulf Air, American + Alaska",2+1,48.5,19891,"DXB→LAX 11397 AED (Gulf Air, American) + LAX→PPT 8494 AED (Alaska). Two tickets. +PPT→BOB ~550 AED.",2026-04-27
Most Direct,Economy,August,8,2026-08-11,Air France,2,42.8,6755,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Economy,August,8,2026-08-11,Air France + Alaska,1+2,40.2,5711,DXB→LAX 2865 AED (Air France) + LAX→PPT 2846 AED (Alaska). Two tickets. +PPT→BOB ~550 AED.,2026-04-27
Most Direct,Premium Economy,August,8,2026-08-11,Air France,2,42.8,11785,"+PPT→BOB domestic ~550 AED (Air Tahiti, not included)",2026-04-27
Via California,Premium Economy,August,8,2026-08-11,Cathay Pacific + Air France,1+0,31.8,12188,DXB→LAX 6395 AED (Cathay Pacific) + LAX→PPT 5793 AED (Air France). Two tickets. +PPT→BOB ~550 AED.,2026-04-27
Most Direct,Business,August,8,2026-08-11,N/A,N/A,N/A,N/A,"Error: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMDgtMTFqBRIDRFhCcgUSA1BQVEIBAUgDmAEC&hl=en&tfu=EgQIABABIgA&curr="", waiting until ""load""
",2026-04-27
