Hotel,Stars,Category,Weekday_USD,Weekend_USD,Weekend_Premium_Pct,Weekday_AED,Weekend_AED,Pool,TripAdvisor_Rating,Source,Notes
Four Seasons Resort Bora Bora,5,Ultra-luxury,2500,3200,28%,9175,11744,Excellent,4.9,fourseasons.com / booking.com,Private overwater suites with plunge pools
The St. Regis Bora Bora Resort,5,Ultra-luxury,2000,2800,40%,7340,10276,Excellent,4.8,booking.com / marriott.com,Butler service; overwater bungalows direct lagoon access
Sofitel Bora Bora Private Island,5,Luxury,1500,2000,33%,5505,7340,Excellent,4.7,booking.com / accorhotels.com,Private island; overwater villas and beach villas
Conrad Bora Bora Nui,5,Luxury,1400,1800,29%,5138,6606,Excellent,4.7,booking.com / hilton.com,Private island location; overwater and beachfront villas
InterContinental Bora Bora Resort Thalasso Spa,5,Luxury,1300,1700,31%,4771,6239,Excellent,4.7,booking.com / ihg.com,Deep-sea water spa; overwater bungalows
Le Bora Bora by Pearl Resorts,4,Upper-mid,800,1100,38%,2936,4037,Good,4.8,booking.com,Excellent value; highly rated overwater bungalows
The Westin Bora Bora Resort & Spa,4,Upper-mid,700,950,36%,2569,3487,Good,4.5,booking.com / marriott.com,Marriott Bonvoy points eligible
Hotel Matira,3,Mid,400,550,38%,1468,2019,Limited,4.3,booking.com,Best beach location on Matira Beach; no overwater bungalows
Maitai Polynesia Bora Bora,3,Mid,300,420,40%,1101,1541,Good,4.4,booking.com,Best-value overwater option; popular with repeat visitors
Royal Bora Bora,3,Budget,200,280,40%,734,1028,Basic,3.9,booking.com,Entry-level overwater bungalows; limited amenities
