"Week (Mon-Sat, 5 nights)",Room,USD/night,USD total,AED/night,AED total
Mon 5 - Sat 10 Apr 2027,Overwater Superior,2307,11537,8467,42341
Mon 5 - Sat 10 Apr 2027,Overwater Deluxe,2385,11926,8753,43768
Mon 5 - Sat 10 Apr 2027,Beachside,2523,12615,9259,46297
Mon 5 - Sat 10 Apr 2027,Overwater Deluxe Otemanu,3054,15271,11208,56045
Mon 5 - Sat 10 Apr 2027,Overwater Premier Otemanu,3781,18907,13876,69389
Mon 5 - Sat 10 Apr 2027,Reef Side Royal Garden 2BR,3905,19525,14331,71657
Mon 5 - Sat 10 Apr 2027,Overwater Royal w/ Pool 1BR,5202,26012,19091,95464
Mon 5 - Sat 10 Apr 2027,Overwater Royal w/ Pool 2BR,7291,36457,26758,133797
Mon 5 - Sat 10 Apr 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 12 - Sat 17 Apr 2027,Overwater Superior,2307,11537,8467,42341
Mon 12 - Sat 17 Apr 2027,Overwater Deluxe,2385,11926,8753,43768
Mon 12 - Sat 17 Apr 2027,Beachside,2523,12615,9259,46297
Mon 12 - Sat 17 Apr 2027,Overwater Deluxe Otemanu,3054,15271,11208,56045
Mon 12 - Sat 17 Apr 2027,Overwater Premier Otemanu,3781,18907,13876,69389
Mon 12 - Sat 17 Apr 2027,Reef Side Royal Garden 2BR,3905,19525,14331,71657
Mon 12 - Sat 17 Apr 2027,Overwater Royal w/ Pool 1BR,5202,26012,19091,95464
Mon 12 - Sat 17 Apr 2027,Overwater Royal w/ Pool 2BR,7291,36457,26758,133797
Mon 12 - Sat 17 Apr 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 19 - Sat 24 Apr 2027,Reef Side Garden 1BR,1871,9359,6867,34348
Mon 19 - Sat 24 Apr 2027,Overwater Superior,2211,11056,8114,40576
Mon 19 - Sat 24 Apr 2027,Overwater Deluxe,2289,11445,8401,42003
Mon 19 - Sat 24 Apr 2027,Beachside,2426,12134,8903,44532
Mon 19 - Sat 24 Apr 2027,Reef Side Royal Garden 2BR,3809,19045,13979,69895
Mon 19 - Sat 24 Apr 2027,Overwater Royal w/ Pool 1BR,5106,25531,18739,93699
Mon 19 - Sat 24 Apr 2027,Overwater Royal w/ Pool 2BR,7195,35976,26406,132032
Mon 19 - Sat 24 Apr 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 26 Apr - Sat 1 May 2027,Overwater Superior,2410,12053,8845,44235
Mon 26 Apr - Sat 1 May 2027,Overwater Deluxe,2488,12442,9131,45662
Mon 26 Apr - Sat 1 May 2027,Beachside,2626,13131,9637,48191
Mon 26 Apr - Sat 1 May 2027,Overwater Deluxe Otemanu,3159,15798,11594,57979
Mon 26 Apr - Sat 1 May 2027,Reef Side Royal Garden 2BR,4008,20041,14709,73550
Mon 26 Apr - Sat 1 May 2027,Overwater Royal w/ Pool 1BR,5305,26528,19469,97358
Mon 26 Apr - Sat 1 May 2027,Overwater Royal w/ Pool 2BR,7394,36973,27136,135691
Mon 26 Apr - Sat 1 May 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 3 - Sat 8 May 2027,Overwater Superior,2136,10681,7839,39199
Mon 3 - Sat 8 May 2027,Overwater Deluxe,2214,11070,8125,40627
Mon 3 - Sat 8 May 2027,Beachside,2352,11760,8632,43159
Mon 3 - Sat 8 May 2027,Overwater Deluxe Otemanu,2879,14398,10566,52841
Mon 3 - Sat 8 May 2027,Reef Side Royal Garden 2BR,3734,18670,13704,68519
Mon 3 - Sat 8 May 2027,Overwater Royal w/ Pool 1BR,5031,25156,18464,92323
Mon 3 - Sat 8 May 2027,Overwater Royal w/ Pool 2BR,7120,35601,26130,130656
Mon 3 - Sat 8 May 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 10 - Sat 15 May 2027,Overwater Superior,2149,10745,7887,39434
Mon 10 - Sat 15 May 2027,Overwater Deluxe,2226,11134,8169,40862
Mon 10 - Sat 15 May 2027,Beachside,2364,11823,8676,43390
Mon 10 - Sat 15 May 2027,Overwater Deluxe Otemanu,2892,14463,10614,53079
Mon 10 - Sat 15 May 2027,Overwater Premier Otemanu,3623,18115,13296,66482
Mon 10 - Sat 15 May 2027,Reef Side Royal Garden 2BR,3746,18734,13748,68754
Mon 10 - Sat 15 May 2027,Overwater Royal w/ Pool 1BR,5044,25220,18511,92557
Mon 10 - Sat 15 May 2027,Overwater Royal w/ Pool 2BR,7133,35665,26178,130891
Mon 10 - Sat 15 May 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 17 - Sat 22 May 2027,Reef Side Garden 1BR,2198,10990,8067,40333
Mon 17 - Sat 22 May 2027,Beachside,2203,11017,8085,40432
Mon 17 - Sat 22 May 2027,Overwater Superior,2254,11272,8272,41368
Mon 17 - Sat 22 May 2027,Overwater Deluxe Otemanu,2728,13641,10012,50062
Mon 17 - Sat 22 May 2027,Overwater Deluxe,2754,13771,10107,50540
Mon 17 - Sat 22 May 2027,Reef Side Royal Garden 2BR,3585,17928,13157,65796
Mon 17 - Sat 22 May 2027,Overwater Royal w/ Pool 2BR,6971,34859,25584,127933
Mon 17 - Sat 22 May 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 24 - Sat 29 May 2027,Overwater Deluxe,2283,11417,8379,41900
Mon 24 - Sat 29 May 2027,Beachside,2421,12106,8885,44429
Mon 24 - Sat 29 May 2027,Overwater Superior,2940,14704,10790,53964
Mon 24 - Sat 29 May 2027,Overwater Deluxe Otemanu,2950,14752,10826,54140
Mon 24 - Sat 29 May 2027,Overwater Premier Otemanu,3679,18398,13502,67521
Mon 24 - Sat 29 May 2027,Reef Side Royal Garden 2BR,3803,19016,13957,69789
Mon 24 - Sat 29 May 2027,Overwater Royal w/ Pool 1BR,5100,25503,18717,93596
Mon 24 - Sat 29 May 2027,Overwater Royal w/ Pool 2BR,7189,35948,26384,131929
Mon 24 - Sat 29 May 2027,Royal Estate 3BR,24045,120229,88245,441240
Mon 31 May - Sat 5 Jun 2027,Overwater Superior,2108,10540,7736,38682
Mon 31 May - Sat 5 Jun 2027,Overwater Deluxe,2185,10929,8019,40109
Mon 31 May - Sat 5 Jun 2027,Beachside,2323,11618,8525,42638
Mon 31 May - Sat 5 Jun 2027,Overwater Deluxe Otemanu,2850,14254,10460,52312
Mon 31 May - Sat 5 Jun 2027,Overwater Premier Otemanu,3582,17910,13146,65730
Mon 31 May - Sat 5 Jun 2027,Reef Side Royal Garden 2BR,3705,18529,13597,68001
Mon 31 May - Sat 5 Jun 2027,Overwater Royal w/ Pool 1BR,5003,25015,18361,91805
Mon 31 May - Sat 5 Jun 2027,Overwater Royal w/ Pool 2BR,7092,35460,26028,130138
Mon 31 May - Sat 5 Jun 2027,Royal Estate 3BR,24045,120229,88245,441240
